experiment_version,silver_size,sample_seed,train_seed,use_class_weights,dry_run,macro_f1,cohen_kappa,class_collapse,metrics_file,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
v2_group_split,500,123,42,True,False,0.305803190841554,0.16634437712173944,False,silver_500_sample123_train42_weights1_metrics.json,0.058823529411764705,4,0.41904761904761906,65,0.422360248447205,117,0.32298136645962733,114
v2_group_split,500,123,123,True,False,0.4774136838470984,0.31759498340095904,False,silver_500_sample123_train123_weights1_metrics.json,0.48322147651006714,85,0.5679012345679012,98,0.6434782608695652,71,0.21505376344086022,46
v2_group_split,500,123,2026,True,False,0.42776886867457464,0.2563236176461301,False,silver_500_sample123_train2026_weights1_metrics.json,0.16901408450704225,7,0.5620437956204379,129,0.6238532110091743,65,0.3561643835616438,99
v2_group_split,500,42,42,True,False,0.3482537969316167,0.14677004456360276,True,silver_500_sample42_train42_weights1_metrics.json,0.0,0,0.6218487394957983,212,0.5142857142857142,26,0.25688073394495414,62
v2_group_split,500,42,123,True,False,0.5428473420640435,0.388511724204343,False,silver_500_sample42_train123_weights1_metrics.json,0.48148148148148145,44,0.6618705035971223,133,0.7289719626168224,63,0.29906542056074764,60
v2_group_split,500,42,2026,True,False,0.3906981813652217,0.19727131053544655,False,silver_500_sample42_train2026_weights1_metrics.json,0.1111111111111111,26,0.37668161434977576,78,0.7321428571428571,68,0.34285714285714286,128
v2_group_split,1000,123,42,True,False,0.5758135821676524,0.40508382909680907,False,silver_1000_sample123_train42_weights1_metrics.json,0.5606060606060606,68,0.5739130434782609,85,0.7659574468085106,50,0.4027777777777778,97
v2_group_split,1000,123,123,True,False,0.6032417356271347,0.43646357799436464,False,silver_1000_sample123_train123_weights1_metrics.json,0.6307692307692307,66,0.5910931174089069,102,0.7878787878787878,55,0.4032258064516129,77
v2_group_split,1000,123,2026,True,False,0.5713879152294375,0.37641376780583236,False,silver_1000_sample123_train2026_weights1_metrics.json,0.5535714285714286,48,0.5387755102040817,100,0.782608695652174,48,0.4105960264900662,104
v2_group_split,1000,42,42,True,False,0.5711797312699863,0.4076032029853067,False,silver_1000_sample42_train42_weights1_metrics.json,0.5671641791044776,70,0.5928853754940712,108,0.7850467289719626,63,0.33962264150943394,59
v2_group_split,1000,42,123,True,False,0.6064438020890515,0.4554181281151929,False,silver_1000_sample42_train123_weights1_metrics.json,0.6268656716417911,70,0.6097560975609756,101,0.7962962962962963,64,0.39285714285714285,65
v2_group_split,1000,42,2026,True,False,0.5600961688089384,0.3948140216935897,False,silver_1000_sample42_train2026_weights1_metrics.json,0.5826771653543307,63,0.5849802371541502,108,0.7818181818181819,66,0.2909090909090909,63
v2_group_split,1500,123,42,True,False,0.5895344065656565,0.43119793162884223,False,silver_1500_sample123_train42_weights1_metrics.json,0.671875,64,0.46,55,0.7818181818181819,66,0.4444444444444444,115
v2_group_split,1500,123,123,True,False,0.6377465371306357,0.5004350565573524,False,silver_1500_sample123_train123_weights1_metrics.json,0.6950354609929078,77,0.5964912280701754,83,0.7927927927927928,67,0.4666666666666667,73
v2_group_split,1500,123,2026,True,False,0.6532511941448484,0.5108496891381202,False,silver_1500_sample123_train2026_weights1_metrics.json,0.7142857142857143,62,0.6307053941908713,96,0.8113207547169812,62,0.4566929133858268,80
v2_group_split,1500,42,42,True,False,0.6117980483839657,0.45415015496584576,False,silver_1500_sample42_train42_weights1_metrics.json,0.6564885496183206,67,0.5967741935483871,103,0.8113207547169812,62,0.3826086956521739,68
v2_group_split,1500,42,123,True,False,0.6124044212568652,0.44893800938503337,False,silver_1500_sample42_train123_weights1_metrics.json,0.6341463414634146,59,0.6,105,0.7961165048543689,59,0.41935483870967744,77
v2_group_split,1500,42,2026,True,False,0.5813576541452647,0.42334341613148363,False,silver_1500_sample42_train2026_weights1_metrics.json,0.6818181818181818,68,0.5333333333333333,80,0.7256637168141593,69,0.38461538461538464,83
v2_group_split,2000,123,42,True,False,0.6465369071398708,0.5035802394849269,False,silver_2000_sample123_train42_weights1_metrics.json,0.6766917293233082,69,0.6233766233766234,86,0.8349514563106796,59,0.45112781954887216,86
v2_group_split,2000,123,123,True,False,0.6278164613293726,0.47721058798786165,False,silver_2000_sample123_train123_weights1_metrics.json,0.6865671641791045,70,0.5826086956521739,85,0.8113207547169812,62,0.4307692307692308,83
v2_group_split,2000,123,2026,True,False,0.6263863233202855,0.48661208231909714,False,silver_2000_sample123_train2026_weights1_metrics.json,0.6853146853146853,79,0.5833333333333334,71,0.7924528301886793,62,0.4444444444444444,88
v2_group_split,2000,42,42,True,False,0.5957217349857611,0.42427196295845004,False,silver_2000_sample42_train42_weights1_metrics.json,0.6271186440677966,54,0.5702479338842975,97,0.7884615384615384,60,0.39705882352941174,89
v2_group_split,2000,42,123,True,False,0.6107689470772635,0.4616788321167883,False,silver_2000_sample42_train123_weights1_metrics.json,0.6764705882352942,72,0.5882352941176471,93,0.7818181818181819,66,0.39655172413793105,69
v2_group_split,2000,42,2026,True,False,0.6029006158072614,0.4382276989987768,False,silver_2000_sample42_train2026_weights1_metrics.json,0.65,56,0.5677966101694916,91,0.7850467289719626,63,0.40875912408759124,90
v2_group_split,2500,123,42,True,False,0.6423249551268724,0.4961687834575418,False,silver_2500_sample123_train42_weights1_metrics.json,0.6818181818181818,68,0.611353711790393,84,0.8349514563106796,59,0.4411764705882353,89
v2_group_split,2500,123,123,True,False,0.6062433139279734,0.4547872340425533,False,silver_2500_sample123_train123_weights1_metrics.json,0.6811594202898551,74,0.5504587155963303,73,0.7962962962962963,64,0.39705882352941174,89
v2_group_split,2500,123,2026,True,False,0.6638980901546905,0.5294798392008772,False,silver_2500_sample123_train2026_weights1_metrics.json,0.7313432835820896,70,0.6527196652719666,94,0.8235294117647058,58,0.448,78
v2_group_split,2500,42,42,True,False,0.6022655343434015,0.452270332051834,False,silver_2500_sample42_train42_weights1_metrics.json,0.6762589928057554,75,0.5610859728506787,76,0.7777777777777778,64,0.3939393939393939,85
v2_group_split,2500,42,123,True,False,0.6257768499486125,0.48574239420454035,False,silver_2500_sample42_train123_weights1_metrics.json,0.7050359712230215,75,0.5803571428571429,79,0.7857142857142857,68,0.432,78
v2_group_split,2500,42,2026,True,False,0.5912281671216415,0.4207540674439837,False,silver_2500_sample42_train2026_weights1_metrics.json,0.688,61,0.5414847161572053,84,0.7692307692307693,60,0.36619718309859156,95
v2_group_split,5000,123,42,True,False,0.5929569933928233,0.44000235169616086,False,silver_5000_sample123_train42_weights1_metrics.json,0.6620689655172414,81,0.5352112676056338,68,0.7572815533980582,59,0.4172661870503597,92
v2_group_split,5000,123,123,True,False,0.6485625783887502,0.51331620927403,False,silver_5000_sample123_train123_weights1_metrics.json,0.7482014388489209,75,0.6200873362445415,84,0.7884615384615384,60,0.4375,81
v2_group_split,5000,123,2026,True,False,0.5960804963300176,0.43609850654213844,False,silver_5000_sample123_train2026_weights1_metrics.json,0.6617647058823529,72,0.514018691588785,69,0.780952380952381,61,0.42758620689655175,98
